Qty,Reference,Part model,Footprint,Mouser part number,Digikey part number,Notes
7,C1-7,100nF,402,187-CL05B104KP5NNWC,1276-1510-1-ND,C7 only needed for 8501
17,D1-17,1N4148W,SOD-323,241-1N4148WSR100001,1655-1359-1-ND,D17 only needed for 8501
1,R1,470,805,603-RC0805JR-07470RP,A130132CT-ND,
4,R2-5,10k,603,603-RC0603FR-1310KL,311-10KGRCT-ND,R4 only needed for *65C02 support
5,U2-6,74HCT245,TSSOP-20,595-SN74HCT245PWR,296-8404-1-ND,
2,U7-8,74HCT273,TSSOP-20,595-SN74HCT273PWR,296-8409-1-ND,
1,U9,74HCT138,TSSOP-16,771-HCT138PW118,1727-2050-1-ND,
3,U10-12,74HCT126,TSSOP-14,771-HCT126PW118,1727-6619-1-ND,
1,U13,74LVC1G373,SOT-363,595-74LVC1G373DCKRG4,296-18775-1-ND,U13 only needed for 8501
1,,40-pin round-pin header,,872-920-0172-01,1988-1163-ND,Cut it in half
1,,DIP-40 round-pin socket,DIP-40,575-11044640,ED3033-ND,
1,,6502 CPU,DIP-40,N/A,,
